,Date,Visitor,AwayPts,Home,HomePts,Season,Home Wins,Home Losses,Home WinPct,Away Wins,Away Losses,Away WinPct
0,Fri Nov 3 1989,Indiana Pacers,126,Atlanta Hawks,103,1990,0.0,1.0,0.0,1.0,0.0,100.0
1,Fri Nov 3 1989,Milwaukee Bucks,114,Boston Celtics,127,1990,1.0,0.0,100.0,0.0,1.0,0.0
2,Fri Nov 3 1989,Washington Bullets,116,Charlotte Hornets,96,1990,0.0,1.0,0.0,1.0,0.0,100.0
3,Fri Nov 3 1989,Cleveland Cavaliers,119,Chicago Bulls,124,1990,1.0,0.0,100.0,0.0,1.0,0.0
4,Fri Nov 3 1989,Los Angeles Lakers,102,Dallas Mavericks,94,1990,0.0,1.0,0.0,1.0,0.0,100.0
5,Fri Nov 3 1989,New York Knicks,103,Detroit Pistons,106,1990,1.0,0.0,100.0,0.0,1.0,0.0
6,Fri Nov 3 1989,Houston Rockets,88,Los Angeles Clippers,102,1990,1.0,0.0,100.0,0.0,1.0,0.0
7,Fri Nov 3 1989,New Jersey Nets,110,Miami Heat,90,1990,0.0,1.0,0.0,1.0,0.0,100.0
8,Fri Nov 3 1989,Golden State Warriors,106,Phoenix Suns,136,1990,1.0,0.0,100.0,0.0,1.0,0.0
9,Fri Nov 3 1989,Sacramento Kings,96,Portland Trail Blazers,114,1990,1.0,0.0,100.0,0.0,1.0,0.0
10,Fri Nov 3 1989,Minnesota Timberwolves,94,Seattle SuperSonics,106,1990,1.0,0.0,100.0,0.0,1.0,0.0
11,Fri Nov 3 1989,Denver Nuggets,113,Utah Jazz,122,1990,1.0,0.0,100.0,0.0,1.0,0.0
12,Sat Nov 4 1989,Boston Celtics,102,Chicago Bulls,100,1990,0.0,1.0,50.0,2.0,0.0,100.0
13,Sat Nov 4 1989,Phoenix Suns,132,Denver Nuggets,135,1990,1.0,0.0,50.0,0.0,1.0,50.0
14,Sat Nov 4 1989,Houston Rockets,132,Golden State Warriors,105,1990,0.0,2.0,0.0,1.0,0.0,50.0
15,Sat Nov 4 1989,Cleveland Cavaliers,98,Indiana Pacers,106,1990,2.0,0.0,100.0,0.0,2.0,0.0
16,Sat Nov 4 1989,Miami Heat,99,New York Knicks,119,1990,1.0,0.0,50.0,0.0,2.0,0.0
17,Sat Nov 4 1989,New Jersey Nets,111,Orlando Magic,106,1990,0.0,1.0,0.0,2.0,0.0,100.0
18,Sat Nov 4 1989,Milwaukee Bucks,102,Philadelphia 76ers,96,1990,0.0,1.0,0.0,1.0,0.0,50.0
19,Sat Nov 4 1989,Seattle SuperSonics,100,Sacramento Kings,107,1990,1.0,0.0,50.0,0.0,1.0,50.0
20,Sat Nov 4 1989,Los Angeles Lakers,98,San Antonio Spurs,106,1990,1.0,0.0,100.0,0.0,1.0,50.0
21,Sat Nov 4 1989,Detroit Pistons,95,Washington Bullets,93,1990,0.0,1.0,50.0,2.0,0.0,100.0
22,Sun Nov 5 1989,Minnesota Timberwolves,83,Portland Trail Blazers,93,1990,2.0,0.0,100.0,0.0,2.0,0.0
23,Mon Nov 6 1989,New York Knicks,110,Orlando Magic,118,1990,1.0,0.0,50.0,0.0,2.0,33.333333333333336
24,Tue Nov 7 1989,Washington Bullets,118,Atlanta Hawks,114,1990,0.0,2.0,0.0,2.0,0.0,66.66666666666667
25,Tue Nov 7 1989,Detroit Pistons,114,Chicago Bulls,117,1990,2.0,0.0,66.66666666666667,0.0,1.0,66.66666666666667
26,Tue Nov 7 1989,Los Angeles Clippers,94,Golden State Warriors,118,1990,1.0,0.0,33.333333333333336,0.0,1.0,50.0
27,Tue Nov 7 1989,Portland Trail Blazers,86,Houston Rockets,109,1990,2.0,0.0,66.66666666666667,0.0,1.0,66.66666666666667
28,Tue Nov 7 1989,Phoenix Suns,107,Los Angeles Lakers,111,1990,2.0,0.0,66.66666666666667,0.0,2.0,33.333333333333336
29,Tue Nov 7 1989,Boston Celtics,100,Milwaukee Bucks,106,1990,2.0,0.0,66.66666666666667,0.0,1.0,66.66666666666667
30,Tue Nov 7 1989,Miami Heat,83,New Jersey Nets,77,1990,0.0,1.0,66.66666666666667,1.0,0.0,33.333333333333336
31,Tue Nov 7 1989,Dallas Mavericks,94,Sacramento Kings,96,1990,2.0,0.0,66.66666666666667,0.0,2.0,0.0
32,Tue Nov 7 1989,Charlotte Hornets,88,Seattle SuperSonics,128,1990,2.0,0.0,66.66666666666667,0.0,2.0,0.0
33,Wed Nov 8 1989,Orlando Magic,117,Cleveland Cavaliers,110,1990,0.0,3.0,0.0,2.0,0.0,66.66666666666667
34,Wed Nov 8 1989,Sacramento Kings,84,Denver Nuggets,102,1990,2.0,0.0,66.66666666666667,0.0,2.0,50.0
35,Wed Nov 8 1989,Detroit Pistons,74,Indiana Pacers,95,1990,3.0,0.0,100.0,0.0,2.0,50.0
36,Wed Nov 8 1989,Dallas Mavericks,123,Los Angeles Clippers,99,1990,0.0,2.0,33.333333333333336,1.0,0.0,33.333333333333336
37,Wed Nov 8 1989,Chicago Bulls,96,Minnesota Timberwolves,84,1990,0.0,3.0,0.0,3.0,0.0,75.0
38,Wed Nov 8 1989,Miami Heat,91,Philadelphia 76ers,115,1990,1.0,0.0,50.0,0.0,3.0,25.0
39,Wed Nov 8 1989,Portland Trail Blazers,108,San Antonio Spurs,104,1990,0.0,1.0,50.0,3.0,0.0,75.0
40,Wed Nov 8 1989,Charlotte Hornets,86,Utah Jazz,102,1990,2.0,0.0,100.0,0.0,3.0,0.0
41,Wed Nov 8 1989,Boston Celtics,103,Washington Bullets,112,1990,3.0,0.0,75.0,0.0,2.0,50.0
42,Thu Nov 9 1989,Los Angeles Lakers,106,Golden State Warriors,95,1990,0.0,3.0,25.0,3.0,0.0,75.0
43,Thu Nov 9 1989,Denver Nuggets,128,Houston Rockets,127,1990,0.0,2.0,50.0,3.0,0.0,75.0
